PK-201,Muhammad,Mahad,PK-201,ECONOMY
PK-202,Muhammad,Mahad1,PK-201,ECONOMY
PK-203,Muhammad,Mahad2,PK-201,ECONOMY
PK-204,Muhammad,Mahad3,PK-201,ECONOMY
PK-205,Muhammad,Mahad4,MO-201,ECONOMY
LR-205,Muhammad,Abubakar,TA-201,BUISINESS
LR-205,Muhammad,Fatima,QA-201,BUISINESS
LR-205,Abu,Sadiq,QA-201,BUISINESS
LR-205,Ibrahim,Mahad4,QA-201,BUISINESS
LR-205,Abdullahi,Musa,QA-201,BUISINESS
LR-205,Muhammad,Salihu,QA-201,BUISINESS
PK-316,Akio, Tanaka,PK-201,ECONOMY
PK-317,Nadia, Ahmed,SY-201,ECONOMY
PK-318,Abdul, Khan,PK-201,ECONOMY
PK-319,Anna, Petrov,PK-201,ECONOMY
PK-320,Mohammad, Ali,PK-201,ECONOMY
LR-317,Yuki, Yamamoto,QA-201,BUISINESS
LR-318,Ayumi, Nakamura,QA-201,BUISINESS
LR-319,Carlos, Rodriguez,QA-201,BUISINESS
